Date,Open,High,Low,Close
30-August-2007,15168.69,15200.81,15053.98,15121.74,
31-August-2007,15131.36,15350.91,15131.36,15318.60,
3-September-2007,15401.99,15427.16,15323.05,15422.05,
4-September-2007,15478.53,15521.48,15389.62,15465.40,
5-September-2007,15535.35,15580.86,15407.00,15446.15,
6-September-2007,15383.18,15637.74,15350.18,15616.31,
7-September-2007,15655.37,15716.06,15565.22,15590.42,
10-September-2007,15413.58,15626.28,15363.53,15596.83,
11-September-2007,15668.40,15698.98,15506.10,15542.77,
12-September-2007,15608.50,15661.44,15486.81,15505.36,
13-September-2007,15547.66,15650.14,15547.66,15614.44,
14-September-2007,15713.66,15824.65,15568.36,15603.80,
17-September-2007,15664.74,15726.06,15467.46,15504.43,
18-September-2007,15547.07,15691.88,15468.80,15669.12,
19-September-2007,15940.79,16335.30,15940.79,16322.75,
20-September-2007,16341.55,16415.88,16261.36,16347.95,
21-September-2007,16352.32,16616.84,16308.09,16564.23,
24-September-2007,16697.89,16869.64,16599.66,16845.83,
25-September-2007,16890.75,16928.02,16676.98,16899.54,
26-September-2007,16969.45,17073.87,16887.07,16921.39,
27-September-2007,17059.61,17188.40,17018.56,17150.56,
28-September-2007,17152.31,17361.47,17152.31,17291.10,
1-October-2007,17356.99,17425.34,17144.58,17328.62,
3-October-2007,17467.41,17953.07,17288.41,17847.04,
4-October-2007,17799.63,17890.49,17494.70,17777.14,
5-October-2007,17831.68,17979.18,17708.80,17773.36,
8-October-2007,17901.94,17982.59,17322.14,17491.39,
9-October-2007,17402.24,18327.42,17287.19,18280.24,
10-October-2007,18473.43,18703.67,18436.99,18658.25,
11-October-2007,18696.62,18832.65,18536.97,18814.07,
12-October-2007,18794.63,18844.62,18336.00,18419.04,
15-October-2007,18525.61,19095.75,18525.61,19058.67,
16-October-2007,19102.93,19174.45,18777.75,19051.86,
17-October-2007,18037.90,18841.29,17307.90,18715.82,
18-October-2007,18827.46,19198.66,17771.16,17998.39,
19-October-2007,18031.77,18031.77,17226.18,17559.98,
22-October-2007,17259.65,17704.83,17171.45,17613.99,
23-October-2007,17910.30,18542.41,17910.30,18492.84,
24-October-2007,18727.90,18832.49,18317.17,18512.91,
25-October-2007,18519.23,18900.10,18459.51,18770.89,
26-October-2007,18823.66,19276.45,18629.53,19243.17,
29-October-2007,19621.39,20024.87,19621.39,19977.67,
30-October-2007,20103.44,20238.16,19694.85,19783.51,
31-October-2007,19827.40,19984.13,19735.21,19837.99,
1-November-2007,20130.23,20204.21,19634.47,19724.35,
2-November-2007,19364.61,20025.63,19255.77,19976.23,
5-November-2007,20009.35,20009.35,19502.45,19590.78,
6-November-2007,19689.79,19919.34,19337.85,19400.67,
7-November-2007,19552.53,19678.50,19249.47,19289.83,
8-November-2007,19110.40,19209.91,18917.40,19058.93,
9-November-2007,19282.70,19329.57,18737.22,18907.60,
12-November-2007,18640.52,18815.11,18333.21,18737.27,
13-November-2007,18681.10,19210.48,18636.21,19035.48,
14-November-2007,19336.96,19987.71,19336.96,19929.06,
15-November-2007,19947.72,19967.08,19723.20,19784.89,
16-November-2007,19603.09,19838.03,19472.51,19698.36,
19-November-2007,19895.49,19971.44,19583.97,19633.36,
20-November-2007,19510.94,19714.22,19196.42,19280.80,
21-November-2007,19197.57,19218.88,18515.30,18602.62,
22-November-2007,18724.11,18744.55,18182.83,18526.32,
23-November-2007,18737.22,18910.46,18548.06,18852.87,
26-November-2007,19171.25,19360.23,19137.66,19247.54,
