Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),,,
25-Apr-17,9273.05,9309.2,9250.35,9306.6,173896951,10426.02,,,77
26-Apr-17,9336.2,9367,9301.35,9351.85,191395120,10483.32,,,78
27-Apr-17,9359.15,9367.15,9322.65,9342.15,215881711,12910.38,,,79
28-Apr-17,9340.95,9342.65,9282.25,9304.05,167229353,8673.32,,,80
2-May-17,9339.85,9352.55,9269.9,9313.8,166558241,9110.59,,,81
3-May-17,9344.7,9346.3,9298.4,9311.95,156342492,7975.14,,,82
4-May-17,9360.95,9365.65,9323.25,9359.9,277895923,12379.74,,,83
5-May-17,9374.55,9377.1,9272,9285.3,239133531,10466.68,,,84
8-May-17,9311.45,9338.7,9297.95,9314.05,179709949,8300.22,,,85
9-May-17,9337.35,9338.95,9307.7,9316.85,136417428,7504.66,,,86
10-May-17,9339.65,9414.75,9336,9407.3,157363135,8619.06,,,87
11-May-17,9448.6,9450.65,9411.3,9422.4,176439840,9289.89,,,88
12-May-17,9436.65,9437.75,9372.55,9400.9,159079418,9813.47,,,89
15-May-17,9433.55,9449.25,9423.1,9445.4,145163953,7790.97,,,90
16-May-17,9461,9517.2,9456.35,9512.25,171709433,9209.89,,,91
17-May-17,9517.6,9532.6,9486.1,9525.75,211856040,10726.23,,,92
18-May-17,9453.2,9489.1,9418.1,9429.45,199340647,10782.46,,,93
19-May-17,9469.9,9505.75,9390.75,9427.9,259861396,11544.77,,,94
22-May-17,9480.25,9498.65,9427.9,9438.25,202874757,9432.97,,,95
23-May-17,9445.05,9448.05,9370,9386.15,231345629,11553.27,,,96
24-May-17,9410.9,9431.9,9341.65,9360.55,218265181,11045.95,,,97
25-May-17,9384.05,9523.3,9379.2,9509.75,298147347,16964.26,,,98
26-May-17,9507.75,9604.9,9495.4,9595.1,225647631,11204.36,,,99
29-May-17,9560.05,9637.75,9547.7,9604.9,242266034,12484.61,,,100
30-May-17,9590.65,9635.3,9581.2,9624.55,199894193,9765.4,,,101
31-May-17,9636.55,9649.6,9609.25,9621.25,427053433,19605.94,,,102
1-Jun-17,9603.55,9634.65,9589.9,9616.1,181533283,9482.61,,,103
2-Jun-17,9657.15,9673.5,9637.45,9653.5,167195027,8564.3,,,104
5-Jun-17,9656.3,9687.2,9640.7,9675.1,131685021,7192.24,,,105
6-Jun-17,9704.25,9709.3,9630.2,9637.15,150379695,8416.55,,,106
7-Jun-17,9663.95,9678.55,9630.55,9663.9,165669924,8989.36,,,107
8-Jun-17,9682.4,9688.7,9641.5,9647.25,160165459,8822.63,,,108
9-Jun-17,9638.55,9676.25,9608.15,9668.25,163897548,9078.71,,,109
12-Jun-17,9646.7,9647.05,9598.5,9616.4,145786938,7686.89,,,110
13-Jun-17,9615.55,9654.15,9595.4,9606.9,133734363,7056.83,,,111
14-Jun-17,9621.55,9627.4,9580.45,9618.15,187378750,10540.68,,,112
15-Jun-17,9617.9,9621.4,9560.8,9578.05,176423424,9868.08,,,113
16-Jun-17,9595.45,9615.85,9565.5,9588.05,219808528,11920.62,,,114
19-Jun-17,9626.4,9673.3,9614.9,9657.55,146146062,8144.36,,,115
20-Jun-17,9670.5,9676.5,9643.75,9653.5,164437226,8476.67,,,116
