Date,Open,High,Low,Close,Volume,Market Cap,,,
"Jul 19, 2017",234.94,245.65,191.75,199.7,"2,32,87,90,000","21,93,93,00,000",,,2.300378065
"Jul 18, 2017",195.03,267.99,182.06,234.39,"2,70,92,60,000","18,20,74,00,000",,,2.369939079
"Jul 17, 2017",159.99,194.75,158.04,193.42,"1,66,95,00,000","14,93,27,00,000",,,2.286501379
"Jul 16, 2017",169.57,172.01,133.72,157.36,"1,51,68,90,000","15,82,31,00,000",,,2.196894347
"Jul 15, 2017",199.71,200.16,170.66,170.66,"81,04,52,000","18,63,02,00,000",,,2.232131741
"Jul 14, 2017",209.53,211.1,187.37,199.66,"74,93,82,000","19,54,13,00,000",,,2.300291067
"Jul 13, 2017",231.81,231.81,200.07,209.73,"82,84,89,000","21,61,39,00,000",,,2.321660557
"Jul 12, 2017",197.15,230.77,189.59,230.77,"1,24,11,90,000","18,37,76,00,000",,,2.36317935
"Jul 11, 2017",211.53,220.29,183.39,197.4,"1,44,09,50,000","19,71,23,00,000",,,2.295347148
"Jul 10, 2017",243.01,243.07,196.97,215.36,"93,72,19,000","22,64,05,00,000",,,2.333165043
"Jul 09, 2017",251.82,255.11,242.14,242.14,"50,51,18,000","23,45,47,00,000",,,2.384066538
"Jul 08, 2017",245.89,273.48,236.55,251.7,"75,49,58,000","22,89,07,00,000",,,2.400883216
"Jul 07, 2017",270.35,273.94,244.17,245.99,"68,72,52,000","25,16,08,00,000",,,2.390917452
"Jul 06, 2017",268.86,278.48,265.51,270.55,"62,30,80,000","25,01,95,00,000",,,2.432247538
"Jul 05, 2017",273.1,275.13,261.45,268.77,"79,02,56,000","25,40,69,00,000",,,2.429380791
"Jul 04, 2017",282.19,287.39,273.11,273.3,"68,76,91,000","26,24,50,00,000",,,2.436639632
"Jul 03, 2017",288.41,291.1,281.18,282.9,"85,14,08,000","26,81,59,00,000",,,2.451632947
"Jul 02, 2017",275.12,295.51,262.52,287.99,"1,12,33,30,000","25,57,28,00,000",,,2.459377408
"Jul 01, 2017",293.35,293.75,268.62,274.6,"1,08,92,00,000","27,25,94,00,000",,,2.438700533
"Jun 30, 2017",303.15,315.17,288.44,294.92,"1,01,18,00,000","28,16,19,00,000",,,2.469704225
"Jun 29, 2017",328.37,330.71,297.37,302.88,"1,50,85,80,000","30,49,53,00,000",,,2.481270597
"Jun 28, 2017",293.04,333.1,276.41,327.93,"2,05,65,50,000","27,20,70,00,000",,,2.515781149
"Jun 27, 2017",272.69,293.09,227.14,293.09,"1,97,38,70,000","25,30,97,00,000",,,2.467001001
"Jun 26, 2017",302.96,311.46,238.65,272.69,"2,08,18,10,000","28,11,12,00,000",,,2.435669212
"Jun 25, 2017",323.47,332.79,284.65,303.25,"1,18,68,80,000","30,00,59,00,000",,,2.48180081
"Jun 24, 2017",341.63,343.62,322.09,323.7,"67,35,85,000","31,68,13,00,000",,,2.510142699
"Jun 23, 2017",336.49,348.01,334.99,341.74,"59,32,07,000","31,19,59,00,000",,,2.533695815
"Jun 22, 2017",337.73,342.03,330.62,336.37,"92,57,67,000","31,30,26,00,000",,,2.526817255
"Jun 21, 2017",359.54,361.34,319.48,336.87,"1,42,01,30,000","33,31,05,00,000",,,2.527462337
"Jun 20, 2017",370.33,377.97,350.94,359.01,"1,02,03,90,000","34,30,40,00,000",,,2.555106546
"Jun 19, 2017",371.86,377.12,369.76,370.06,"68,51,72,000","34,43,57,00,000",,,2.568272144
"Jun 18, 2017",379.52,390.58,368.84,371.46,"90,47,03,000","35,13,38,00,000",,,2.569912054
"Jun 17, 2017",369.88,379.41,364,379.41,"90,46,53,000","34,23,13,00,000",,,2.579108773
"Jun 16, 2017",361.18,373.06,341.42,370.23,"1,09,62,80,000","33,41,58,00,000",,,2.568471607
"Jun 15, 2017",358.51,364.44,300.7,361.93,"2,46,34,50,000","33,15,82,00,000",,,2.558624583
"Jun 14, 2017",397.59,399.32,342.22,359.05,"1,27,25,80,000","36,76,16,00,000",,,2.555154931
"Jun 13, 2017",395.69,411.18,370.06,397.54,"1,71,73,80,000","36,57,45,00,000",,,2.599380833
"Jun 12, 2017",341.16,414.76,341.16,401.49,"2,88,26,50,000","31,52,53,00,000",,,2.603674733
"Jun 11, 2017",338.79,353.01,318.17,340.61,"1,37,32,20,000","31,29,68,00,000",,,2.532257394
